 pays	 pays_lib	 syst	 syst_lib	 sect	 sect_lib	 agglo	 agglo_lib	 annee	 mois	 pue	 fm	 cap	 obs_sp_min	 obs_sp_max	 pue_sp_ecart_type	 pue_sp	cap_sp	 nbre_enquete_sp	 esp_lib	 eco_lib	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.96	1.25	0.251	0.063	14.1	2	Tetraodon lineatus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.04	1.74	0.31	0.112	25.1	11	Hemichromis fasciatus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.06	1	0.227	0.155	34.7	16	Synodontis ocellifer	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.03	1.5	0.306	0.168	37.6	15	Brycinus nurse	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.1	2.67	0.575	0.243	54.4	12	Hydrocynus brevis	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.19	2.99	0.7	0.618	138.4	19	Labeo coubie	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.01	13.06	2.765	0.961	215.2	11	Mormyrus rume	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.02	6.94	2.115	1.922	430.3	29	Tilapia zillii	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.11	36.6	6.404	2.964	663.6	27	Sarotherodon galilaeus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.02	18.44	4.472	3.428	767.5	24	Hydrocynus forskahlii	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.04	0.09	0.018	0.004	1	3	Hemichromis bimaculatus	Continentale occasionnelle	
